source,target
RAC1,MAPK8
PLK1,NUDC
AKT1,PTPN1
TUBB,SMAD3
IRAK1,TRAF6
GSK3B,CCNE1
MAP3K5,MAP2K7
ATM,ZNF148
PDPK1,MAP2K1
SH3RF1,MAP2K4
GSK3B,SMAD3
ESR1,PIK3R1
LCK,MAPK3
RANBP3,SMAD3
NTN4,UNC5A
FGF5,FGFR1
TTL,TUBA1C
SIK1,CRTC3
RAP1GDS1,RHOA
CDK1,NME1
FAS,MAP3K5
ITCH,TNIP2
PLK1,TPT1
CDK2,CDKN1A
AKT2,KHSRP
FBXW11,SKP1
SMO,TIAM1
JAK1,STAT3
MAPK1,EGFR
CSNK1E,ROR2
UCHL5,SMAD2
INCENP,AURKB
AKT1,SMAD3
KMT2D,ESR1
GPER1,GNAQ
PRKCD,PA2G4
GSK3B,MCL1
PRKACA,ESR1
MAPK1,AMPH
NCOA2,RARA
SP1,CRX
UBE2I,ETV5
SMAD2,CREB1
DVL3,PIP5K1A
CDK2,BRCA1
MAPK14,EZH2
EFNA1,EPHA7
PLK3,TOP2A
PHB2,MEF2A
PRKCZ,STK11
PLK1,PINX1
CSNK2A1,HNRNPC
STK11,NUAK1
ASH2L,GATA3
SHH,PTCH2
BRAF,MAP2K1
SRC,STAT3
AKT1,DNMT1
CDK2,CCNE1
IL3,IL3RA
KAT2A,SMAD3
RYK,DVL3
NEDD4L,SMAD2
RPS6KA1,CIC
MUTYH,TOPBP1
SH3RF1,MAPK8
MAX,MGA
FZD4,DVL2
STAT1,RELA
CHEK1,CDC7
GSK3B,SREBF1
PDPK1,AKT1
BMPR1A,BMPR2
ABL1,TP73
SRC,NOS2
CDK2,FOXO4
RHOA,ROCK1
SFPQ,TOP1
HDAC1,CCND1
NLK,TCF7L2
TOPBP1,ATRIP
ATR,MCM4
PDPK1,PRKCE
PRKACG,NOS3
CDK1,CDC23
CDK20,CDK2
TDGF1,ACVR2A
IKBKB,DOK1
APC,CTNNB1
CASP3,STK4
PLCB1,GNA11
AKT1,BAX
PLK1,CHEK2
GSK3B,JUN
PPP2CA,AKT1
CSNK2A1,ESR1
CDKN2AIP,TP53
WNT16,LRP6
AURKB,NDC80
LCK,ESR1
PTH,PTH1R
CDK1,MCL1
MTOR,MTOR
ICK,RPTOR
MELK,MELK
NBN,ATM
CSNK2A1,ESR1
H2AFX,NBN
CDK5,CLOCK
ABL1,ROBO1
PPP5C,MAP3K5
CSNK2A1,CBX1
CDK9,POLR2A
LIMK1,CFL1
PRKCD,TP53
RPS6KA3,ESR1
CASP8,CASP3
RPS6KA1,ESR1
HIPK2,CDKN1B
KAP120,ATF2
PLK3,ATF2
PRKD1,OSBP
FGFR1,PDK1
CDKN1A,CDK6
CDK1,HMGA1
BCL2L1,BECN1
AURKB,NSUN2
STUB1,SMAD5
PTPRD,STAT3
TICAM1,TBK1
KHSRP,DVL3
BARD1,BRCA1
MSH2,BLM
CDK12,POLR2A
GSK3B,RELA
MELK,CDC25B
PTCH1,SMO
EGFR,VAV2
CSNK1E,DVL1
NRG1,ERBB3
PRKCD,STAT3
PAK1,SNAI1
CDK2,LIG1
PRKACA,GSK3B
AKT1,AR
BMPR1A,SMAD5
PTEN,STAT5A
ERBB2,GRB2
SRC,MYLK
CTF1,LIFR
TCF3,MYOD1
SOCS1,JAK3
EGFR,GAB1
EFNA3,EPHA8
CDK1,CASP8
VRK2,BANF1
JDP2,ATF2
MDM2,MDM4
XBP1,XBP1
ERBB4,PIK3CA
PHLPP1,STK4
SMAD7,PPP1R15A
PKN1,EGFR
PRKCA,HRH1
CDK1,TP73
RPA2,ATRIP
ALK,STAT3
ATM,HIF1A
ATM,RASSF1
CDK2,ATRIP
AKT1,TAL1
PML,SMAD3
PTK6,BCAR1
CSF1,CSF2RA
ERCC2,ERCC3
PAK1,ESR1
HDAC1,MYOD1
SH3RF1,MAP3K12
ILK,NACA
RIN1,ABL2
RHOA,FHL2
TNKS,AXIN2
MYOD1,SMARCA4
PLK1,TERF1
PTPN1,INSR
TNF,PIK3CB
MAPK11,SMAD2
CDK1,INCENP
PPP1CA,PFN1
CAMK2B,STAT1
CSNK1A1,MDM4
TAOK1,STK3
PDPK1,PRKCA
PLK3,TP53
TBK1,STAT6
CASP3,BAD
PPM1F,CAMK2A
IRAK1,PELI3
PTPN11,EGFR
CDK2,ZBTB16
PRKDC,TP53
NEK9,NEK6
CASP8,CASP7
MAPKAPK2,PLK1
CDK1,PTTG1
CHEK2,RB1
RPA2,NBN
EGFR,GRB2
ERBB2,ERBB3
APPL1,STK11
EP300,RELA
MAP2K1,PPARG
AKT1,NR4A1
MUTYH,ATR
AKT1,PFKFB2
MAPK11,ATF2
PPP2CA,RPS3
MAPK3,RPTOR
MAML1,TP53
AKT1,MDM4
CHEK2,BRCA1
WNT16,FZD3
PTPN2,STAT3
LYN,CDKN1B
MDC1,NBN
STK11,SIK3
APOB,LDLR
UBE2I,SMAD4
CDK1,E2F1
FGF4,FGFR2
GNAI1,PLD2
CDK7,E2F1
TRIM28,MDM2
PSTPIP1,DNM2
BTRC,EZH2
ATM,MDM4
UCHL5,SMAD3
CAMK2A,PTK2
FGF2,FGFR2
TLE2,LEF1
