target
DCHS
NOS2
PYGL
GCST
CAC1I
AA1R
ABL1
FCERA
FA8
PGH1
ARBK2
DRD1
S13A1
VGFR3
SCNNB
CO1A1
TBB1
SYFM
VGFR1
XCT
DHRS4
INSR
CTNS
RAF1
SYFA
LIPT
FA5
PDXK
EDNRB
ACM3
KPYR
S12A5
THRB
FCERG
HEM2
3BHS1
CTR4
GLRB
MMP9
3BHS2
P4HA1
CNR1
AGTR1
SYSC
PE2R1
CD20
NOS1
THIL
PPARA
MCCB
NR0B1
GHR
S14L4
HPRT
RXRB
CSAD
KCRB
CD52
5HT4R
FRIL
HUTH
PLOD1
KPYM
KCNH2
TOP1M
ACM1
SC5A6
CNR2
MCATL
ODPB
CLTR2
DCAM
AGT2
SOAT1
S22A5
CEAM1
RENBP
P2Y12
HRH2
DPOLB
APT
PTGIS
VMAT2
ABCA1
TPH1
ESR1
IL3
AK1C1
GBRR1
HBA
ANDR
ALDH2
LSHR
CTR3
DOPO
AFG32
S12A6
SCN1A
TBB5
RARG
DRD5
HRH4
FLT3
NFS1
SSDH
Q16857
KCNK1
TLR7
SGMR1
TPK1
BPL1
NB5R3
ODO1
VEGFA
SDHL
V1AR
GSH1
DNLI3
S23A1
KCRU
ADRB1
NDUC2
MOT7
DHSA
SCNAA
MOT8
CPT2
DHE3
PDE5A
GSHB
ACY2
SYEP
SCRB1
SCNNA
SCNBA
DHB1
MOT5
SCN5A
SYK
DNLI1
ORNT1
ULA1
GNRHR
SYLM
PGFRB
RARB
ABCC8
KCNK2
PLMN
CTR1
PPARG
FA10
GABR1
AT2C1
ASNS
NQO2
ACE
SYVC
P5CR1
ADH1A
SYWC
ATNG
SYYC
MTP
SYTC
CMC1
AAAT
TCO1
LIPL
PAI1
AA2BR
ADX
BCL2
ACM5
LOX5
SC6A1
PNPH
TYRO
GABT
AAKB1
RET3
S14L2
ORNT2
B4GT1
5NTC
PGH2
NOS3
ACVR1
NEP
CAH1
MTDC
ADCY1
RENI
FOLR2
CD3E
S12A7
CMC2
ANT3
S12A2
S38A3
ARGI1
ADA2A
Q5T1J1
5HT1A
GLYM
V2R
SYAC
PD2R
RET1
CACB1
METK2
OTC
APAF
5HT3A
THB
SPYA
SCTR
MMAA
CAH2
CBS
TYSY
RIR1
FGF4
MTR1B
DHI1
DYR
GLYC
FA7
COX1
S14L3
AMNLS
ARBK1
ADA2C
CP17A
PRLR
GRIK1
GATM
ATP4A
ACSA
AOC1
ASIC1
AA3R
SUCB2
CAC1A
ALK
MOT3
SYYM
FA9
NMDZ1
PE2R2
VGFR2
RIFK
OAZ1
GNMT
OCTC
PUR1
SC6A8
CAMLG
PROC
GBRA2
PYRD
AATM
NK1R
INAR2
MOT6
FSHR
SRR
DRD4
SNP25
ANAG
KYNU
5HT2B
ELNE
TS1R2
NMDE4
IVD
FRIH
ADH1B
CCKAR
VKGC
DCOR
ACM4
CPT1A
METK1
HEM1
KCRS
ACH10
RXRA
GLRA3
KCNN4
I11RA
NMDE2
CALM
S12A3
OPRD
ANXA1
S6A14
OAT
ACES
AKT1
CAC1C
CALCR
GLRA1
ARAF
ABL2
PDE3A
CDK15
ITA2B
MOT2
SPTC1
HRH1
CP27B
CASP1
MCCA
S13A2
ADC
MOT4
LCMT1
5HT2A
SSR1
KIT
NMDE3
HPPD
MMAB
ENPP1
ACVL1
5HT1F
KCNH6
PSMD1
NTR2
ADH1G
INGR2
ABCC9
PSMD2
GBRA5
GNRR2
PI2R
5HT1E
CEGT
GBRA4
SATT
ACY1
THNS1
CAC1G
ATPD
SC6A2
PDE4B
KCNE1
TSHR
SYIC
PCCA
PCY1B
SCNND
CACP
SCNNG
LDLR
ADA1A
S12A1
NU1M
PERT
CASR
TRFE
ERBB2
AL1A2
MTR1A
ITAL
BCAT1
KBL
CLAT
ARLY
EDNRA
GBRA3
NADC
GLR
ASPH
AATC
ALBU
CHD1
5HT2C
NMD3B
CAH4
S36A1
FIBA
S5A1
PCCB
DPOLA
PROZ
KCMA1
AL1A1
ANPRA
PRGR
ACM2
SYFB
CTR2
IL1R1
SMOX
GAMT
FOLH1
CDO1
RDH1
ADA2B
ACDSB
HMDH
ADA1B
ERG1
MCAT
DRD3
AL1A3
S5A2
ITA4
AK1C3
RDH13
BLVRB
CD1A
ADT1
S12A4
ACAD8
GSH0
SYNC
DDAH2
PF2R
S13A3
LCMT2
TY3H
PCY1A
C1TC
GCSP
AK1C2
PTN1
ADT3
GHRHR
ACACA
PDE7B
CSF2R
HBB
PDE10
OPRK
BRAF
HCAR2
KCY
ACSL1
GRIA1
NMD3A
MMP2
IRK1
SC6A3
GSHR
5HT7R
IL2RB
FOLR3
TIG1
EPOR
PA24A
IL2RA
5HT1D
SPTC2
INAR1
RARA
ACV1B
CALY
ALAT1
MCR
MOT1
ASSY
KCNQ1
PISD
CD33
AMHR2
AAPK1
ASIC2
CCG1
KCNK6
LIPP
SHBG
THA
FFAR1
FGF1
CA2D1
ATTY
ADRB2
FKB1A
RAI3
PYC
KCNH7
FOLC
SYCC
ACACB
ABCBB
TNFA
CLTR1
PDE7A
RXRG
IRK11
ADT2
FCGR1
INGR1
VKOR1
KCRM
ADA1D
DPOA2
UPAR
CD2
BCAT2
IMDH2
SC6A7
OSTCN
SYDC
RDH12
P5CR2
C11B1
AT1A1
METH
TSPOA
DLDH
ACHA2
RYR1
SYHC
TOP2A
GLRA2
ACS2L
ALDR
FGFR2
SC6A4
ASNA
NEU1
SL9A1
PH4H
DRD2
S22A4
ARGI2
TA2R
NMDE1
IMDH1
ACADS
MTRR
GBRA6
