I2	D1	0.000226027
I3	D1	5.50685e-06
I4	D1	1.23288e-06
I5	D1	1.23288e-06
I6	D1	2.46575e-06
I7	D1	1.23288e-06
I8	D1	2.73973e-06
I9	D1	4.21918e-05
I12	D1	3.83562e-06
I13	D1	9.36986e-06
I17	D1	2.53151e-05
I18	D1	2.07123e-06
I22	D1	3.43836e-05
I24	D1	3.43836e-05
I25	D1	1.47397e-06
I27	D1	2.0274e-06
I28	D1	9.58904e-07
I29	D1	4.56164e-07
I30	D1	4.60274e-07
I31	D1	1.55342e-06
I32	D1	1.33151e-06
I34	D1	3.22192e-06
I35	D1	1.31507e-05
F1	D1	2.1617e-05
F2	D1	1.53357e-05
F3	D1	1.54963e-05
F18	D1	2.68864e-05
F19	D1	2.24305e-05
F20	D1	2.15196e-05
F21	D1	2.66957e-05
F35	D1	5.78767e-07
F37	D1	6.67123e-07
F39	D1	2.92466e-07
F40	D1	6.16438e-07
F60	D1	1.08219e-06
F61	D1	9.99452e-06
F67	D1	9.18836e-06
F68	D1	1.9833e-05
F118	D1	4.79888e-06
F119	D1	1.71933e-06
F120	D1	2.48836e-05
F140	D1	3.14384e-05
F149	D1	1.57444e-05
F150	D1	8.34147e-06
F151	D1	2.44111e-06
F152	D1	2.67858e-06
F153	D1	8.17471e-06
F206	D1	2.2663e-07
F207	D1	3.24493e-07
I9	A1	2.81279e-05
I11	A1	1.70959e-05
I12	A1	8.94977e-06
I17	A1	1.68767e-05
I18	A1	3.06849e-06
I19	A1	2.29224e-05
I22	A1	0.000114612
I23	A1	0.000183379
I25	A1	4.91324e-07
I26	A1	4.05479e-06
I29	A1	1.11507e-05
I31	A1	2.9589e-07
I33	A1	3.59269e-06
I34	A1	6.13699e-07
R1	A1	2.49315e-06
F1	A1	3.39718e-05
F2	A1	2.29762e-05
F3	A1	2.36898e-05
F11	A1	1.74466e-07
F12	A1	3.50228e-07
F13	A1	3.18793e-05
F18	A1	3.58485e-05
F19	A1	2.98472e-05
F20	A1	2.86928e-05
F21	A1	3.55942e-05
F50	A1	5.6484e-07
F62	A1	9.78667e-07
F67	A1	1.22511e-05
F68	A1	2.6444e-05
F85	A1	5.59233e-05
F92	A1	4.45114e-05
F93	A1	4.15708e-05
F111	A1	3.92055e-07
F115	A1	2.72309e-05
F116	A1	5.35759e-06
F117	A1	4.42283e-07
F118	A1	7.77388e-06
F119	A1	5.57041e-06
F120	A1	3.31781e-05
F127	A1	1.66247e-06
F135	A1	1.0526e-06
F136	A1	1.02592e-06
F137	A1	1.0411e-06
F138	A1	1.72603e-07
F140	A1	4.19178e-05
F141	A1	1.52146e-07
F142	A1	1.06082e-07
F143	A1	1.03101e-06
F144	A1	1.87151e-06
F145	A1	2.1345e-06
F146	A1	4.7867e-05
F149	A1	2.10396e-05
F150	A1	1.1874e-05
F151	A1	3.25481e-06
F152	A1	4.75207e-06
F153	A1	1.08574e-05
F156	A1	2.43664e-05
F157	A1	6.72511e-05
F158	A1	2.18265e-05
F159	A1	3.7457e-05
F160	A1	2.55117e-05
F161	A1	5.3342e-05
F162	A1	4.16804e-05
F163	A1	6.18813e-05
F164	A1	3.77843e-05
F165	A1	3.76597e-05
F194	A1	3.87829e-05
F198	A1	4.49461e-05
F206	A1	4.72489e-06
F207	A1	1.68256e-06
I4	A2	2.19553e-05
I5	A2	2.19553e-05
I7	A2	2.19553e-05
F3	A2	9.14993e-08
F11	A2	2.98743e-08
F13	A2	3.48433e-07
F20	A2	2.08437e-06
F43	A2	2.11064e-06
F44	A2	6.28726e-06
F62	A2	1.43246e-06
F116	A2	7.95076e-06
F117	A2	1.84894e-06
F118	A2	2.15031e-06
F119	A2	8.80465e-08
F134	A2	3.77579e-06
F135	A2	6.14937e-07
F141	A2	6.69919e-08
F143	A2	3.02646e-07
F144	A2	2.84856e-07
F146	A2	1.04635e-07
F149	A2	2.03104e-06
F150	A2	8.13286e-08
F151	A2	3.07765e-06
F152	A2	3.03246e-07
F153	A2	2.95147e-06
F156	A2	5.07788e-08
F160	A2	5.93245e-07
F161	A2	5.53012e-07
F165	A2	7.7538e-08
F206	A2	1.01603e-06
I1	A3	0.026744945
I8	A3	0.000913242
I13	A3	9.9152e-05
I17	A3	0.000562557
I20	A3	0.000521853
I28	A3	4.56621e-05
I29	A3	2.17221e-05
I30	A3	0.000175342
I32	A3	6.34051e-05
I35	A3	0.000313112
F60	A3	0.000360731
F61	A3	0.003331507
I4	I1	0.000684932
I5	I1	0.000684932
I6	I1	0.003196347
I7	I1	0.000684932
I8	I1	0.000913242
I15	I1	0.002846271
I17	I1	0.003125317
I19	I1	0.006367326
I20	I1	0.004058853
I21	I1	0.003183663
I22	I1	0.012734652
I25	I1	0.002729579
I28	I1	0.00035515
I29	I1	0.000225266
I32	I1	0.000493151
I35	I1	0.002435312
B1	I1	0.002029427
F9	I1	0.000264231
F13	I1	1.17757e-05
F74	I1	2.61542e-05
F96	I1	4.50533e-06
F151	I1	0.00016002
F156	I1	1.37291e-05
I1	I2	0.256751468
I4	I2	0.0001409
I5	I2	0.0001409
I6	I2	0.0001409
I7	I2	0.0001409
I8	I2	0.000313112
I9	I2	0.002410959
I11	I2	7.32681e-05
I12	I2	0.000140274
I13	I2	0.000178474
I14	I2	0.002191781
I17	I2	0.000964384
I18	I2	2.63014e-05
I20	I2	0.000626223
I22	I2	0.001964775
I23	I2	0.00392955
I25	I2	0.000336908
I28	I2	0.000109589
I29	I2	5.21331e-05
I30	I2	5.26027e-05
I31	I2	2.02896e-05
I32	I2	5.07241e-05
I34	I2	0.000105205
I35	I2	0.000751468
F3	I2	1.14505e-05
F6	I2	0.002293855
F7	I2	0.000856095
F8	I2	0.002993346
F9	I2	0.002649863
F12	I2	0.000731277
